Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"B-WELL CHIROPRACTIC, PLLC",602 624 945,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"PO BOX 5214, EVERETT, WA, 98206, UNITED STATES",ROAUL D SMITH DC,Inactive
BABCOX CHIROPRACTIC HEALTH ARTS INC.,602 335 847,WA PROFIT CORPORATION,,ADAM BABCOX,Inactive
"BABCOX CHIROPRACTIC HEALTH ARTS, PLLC",602 271 517,WA LIMITED LIABILITY COMPANY,,KATHY MOORE,Inactive
"BABUIN CHIROPRACTIC CENTER, INC.",602 255 172,WA PROFIT CORPORATION,"1175 NW GILMAN BLVD STE B5, ISSAQUAH, WA, 98027-5375, UNITED STATES",STEPHEN BABUIN,Active
BACK 2 LIFE CHIROPRACTIC P.L.L.C.,604 542 851,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8409 SPRUCE ST SW, LAKEWOOD, WA, 98498-2343, UNITED STATES",JORGE SANCHEZ,Active
"BACK AND BODY CHIROPRACTIC SERVICES, LLC",603 208 879,WA LIMITED LIABILITY COMPANY,"5210 N ROAD 68 #F, PASCO, WA, 99301, UNITED STATES",REBECCA JOHNSON,Administratively Dissolved
"BACK IN MOTION CHIROPRACTIC, P.C.",601 890 808,WA PROFESSIONAL SERVICE CORPORATION,"1115 BLACK LAKE BLVD SW STE A, OLYMPIA, WA, 98502-1026, UNITED STATES",DONALD M SORAN DC,Active
BACK N BODYWORKS CHIROPRACTIC LLC,603 316 101,WA LIMITED LIABILITY COMPANY,"297 CYPRESS AVE, SNOHOMISH, WA, 98290-2516, UNITED STATES",MIRINDA ATCHISON,Active
"BACK ON TRACK CHIROPRACTIC AND MASSAGE, LLC",602 165 819,WA LIMITED LIABILITY COMPANY,"8621 MARTIN WAY E STE 102, LACEY, WA, 98516-5855, UNITED STATES",SCOTT W TROMBONI D C,Active
BACK PAIN RELIEF CHIROPRACTIC LLC,603 581 284,WA LIMITED LIABILITY COMPANY,"2621 W KLAMATH AVE, KENNEWICK, WA, 99336, UNITED STATES",TIMOTHY GOULART,Administratively Dissolved
BACK TO ACTION CHIROPRACTIC PLLC,602 657 736,WA LIMITED LIABILITY COMPANY,"6603 220TH ST SW #100, MOUNTLAKE TERRACE, WA, 98043, UNITED STATES",JENNIFER JONES,Active
"BACK TO HEALTH CHIROPRACTIC CENTER, INC",601 839 321,WA PROFIT CORPORATION,"1660 LAYTON RD STE 106, FREELAND, WA, 98249-5000, UNITED STATES","BACK TO HEALTH CHIROPRACTIC CENTER,PS",Active
"BACK TO HEALTH CHIROPRACTIC CLINIC, P.C.",601 841 063,WA PROFESSIONAL SERVICE CORPORATION,"6307 NE 117TH AVE STE C, VANCOUVER, WA, 98662-5500, UNITED STATES",THOMAS S SAEMAN,Active
BACK TO HEALTH CHIROPRACTIC INC.,602 112 537,WA PROFIT CORPORATION,,MARK OANG,Inactive
"BACK TO HEALTH CHIROPRACTIC, LLC",602 941 706,WA LIMITED LIABILITY COMPANY,"20930 108TH AVE SE, KENT, WA, 98031-1101, UNITED STATES",JOHN PHAN,Active
"BAGBY CHIROPRACTIC, PLLC",603 367 879,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"435 SW 41ST ST, RENTON, WA, 98057, UNITED STATES",LORRI BAGBY,Active
"BALANCE CHIROPRACTIC CENTER, PLLC",602 590 456,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8704 RAINIER AVE S, SEATTLE, WA, 98118-4927, UNITED STATES",DR DAT LU D.C.,Active
BALANCED LIVING CHIROPRACTIC PLLC,603 107 023,WA LIMITED LIABILITY COMPANY,"6405 NE 116TH AVENUE, SUITE 106, VANCOUVER, WA, 98662, UNITED STATES",JOSEPH PERIN,Active
BALDWIN CHIROPRACTIC CLINIC INC. P.S.,602 061 363,WA PROFESSIONAL SERVICE CORPORATION,,DANNY DAVID BALDWIN JR,Inactive
"BALDWIN CHIROPRACTIC, PLLC",602 175 379,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"10700 SE 208TH ST STE 207, KENT, WA, 98031-5545, UNITED STATES",GARRY W BALDWIN D.C.,Active
"BALLA ADVANCED CHIROPRACTIC & NEUROMUSCULAR THERAPY, PS",601 970 211,WA PROFESSIONAL SERVICE CORPORATION,"5017 196TH ST SW, LYNNWOOD, WA 98036, LYNNWOOD, WA, 98036-6123, UNITED STATES",JANICE BALLA,Administratively Dissolved
BALLARD CENTRAL CHIROPRACTIC INC,602 523 005,WA PROFIT CORPORATION,"1551 NW 54TH ST STE  # 102, SEATTLE, WA, 98107-3845, UNITED STATES",BRODIE KLENK,Active
"BALLARD CHIROPRACTIC CLINIC, P.S.",601 536 710,WA PROFESSIONAL SERVICE CORPORATION,"9015 HOLMAN RD NW, SUITE 3, SEATTLE, WA, 98117-3481, UNITED STATES",ERIC R WECHSELBERGER DC,Active
"BALLARD CHIROPRACTIC CLINIC, P.S.",000 071 823,WA PROFESSIONAL SERVICE CORPORATION,,K G SONDERLEITER,Inactive
"BANIC CHIROPRACTIC, CO.",602 346 831,WA PROFIT CORPORATION,"4200 187TH PL SE, ISSAQUAH, WA, 98027-9746, UNITED STATES",ANTE S BANIC,Active
"BARKLEY CHIROPRACTIC, P.S.",602 555 037,WA PROFESSIONAL SERVICE CORPORATION,"1151 ELLIS ST STE 104, BELLINGHAM, WA, 98225-5203, UNITED STATES","BARKLEY CHIROPRACTIC, PS",Active
"BARLAS CHIROPRACTIC, PLLC",603 267 086,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2130 WESTLAKE AVE N STE 1, SEATTLE, WA, 98109-2458, UNITED STATES",BARLAS CHIROPRACTIC,Active
"BARNES CHIROPRACTIC,  PLLC",603 585 058,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"39110 NE MOE AVE, LA CENTER, WA, 98629, UNITED STATES","SBLG, PLLC",Active
BARNHILL CHIROHEALTH LLC,604 041 032,WA LIMITED LIABILITY COMPANY,"7101 W HOOD PL STE A101, KENNEWICK, WA, 99336-6720, UNITED STATES",PERRY BARNHILL,Active
"BARNHILL CHIROHEALTH, PS",602 214 406,WA PROFESSIONAL SERVICE CORPORATION,"8530 E GAGE BLVD #B, KENNEWICK, WA, 99336, UNITED STATES",PERRY BARNHILL,Administratively Dissolved
"BARNICK CHIROPRACTIC, PS",603 388 549,WA PROFESSIONAL SERVICE CORPORATION,"13307 NE HIGHWAY 99, SUITE 113, VANCOUVER, WA, 98686, UNITED STATES",ROGER BARNICK,Active
"BARONE CHIROPRACTIC CLINIC, PS",601 722 282,WA PROFESSIONAL SERVICE CORPORATION,"PO BOX 257, OLYMPIA, WA, 98507-0257, UNITED STATES",LAWRENCE A PIRKLE,Active
"BARRETT FAMILY CHIROPRACTIC, PLLC",603 539 341,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"21651 E COUNTRY VISTA DR STE F, LIBERTY LAKE, WA, 99019-7709, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",Active
"BASIN FAMILY CHIROPRACTIC, P.S.",602 140 468,WA PROFESSIONAL SERVICE CORPORATION,"2200 S MAIERS RD, SUITE B, MOSES LAKE, WA, 98837-8818, UNITED STATES",SONYA AUSERE,Active
"BASTRON CHIROPRACTIC, INC",602 561 556,WA PROFIT CORPORATION,"1010 S 336TH ST, SUITE 120, FEDERAL WAY, WA, 98003-7354, UNITED STATES",MICHAEL BASTRON,Active
"BATTLE GROUND CHIROPRACTIC, P.S.",603 598 114,WA PROFESSIONAL SERVICE CORPORATION,"1710 W MAIN ST STE 101, BATTLE GROUND, WA, 98604-4317, UNITED STATES",JEFFREY STRAPPAZON,Active
"BATTLE GROUND CHIROPRACTIC, PLLC",602 399 905,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"15 SW 20TH AVE, BATTLE GROUND, WA, 98604, UNITED STATES",JOHN C BUCHANAN,Inactive
"BATTLE GROUND FAMILY CHIROPRACTIC, INC.",602 325 429,WA PROFIT CORPORATION,"713 W MAIN ST # 102, BATTLE GROUND, WA, 98604, UNITED STATES",MARK S LARUE,Administratively Dissolved
"BAUER CHIROPRACTIC CLINIC, P.S.",601 034 872,WA PROFESSIONAL SERVICE CORPORATION,,DONN BAUER,Inactive
"BAUMAN CHIROPRACTIC SERVICES, PLLC",602 177 534,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"202 E MCLOUGHLIN BLVD, VANCOUVER, WA, 98663-3369, UNITED STATES",JOHN BAUMAN,Active
"BAY CENTER CHIROPRACTIC CLINIC, P.S.",601 780 279,WA PROFESSIONAL SERVICE CORPORATION,"2627 CAPITAL MALL DR SW STE B3A, B-3A, OLYMPIA, WA, 98502-8696, UNITED STATES",BRIAN L WILMOVSKY,Active
BAYSHORE CHIROPRACTIC P.S.,601 963 399,WA PROFESSIONAL SERVICE CORPORATION,"840 SE BAYSHORE DR STE 101, OAK HARBOR, WA, 98277-4062, UNITED STATES",DAWN KEITH-MADEIROS,Active
"BAZE CHIROPRACTIC, PLLC",602 903 556,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"200 SW 41ST ST STE 100, RENTON, WA, 98057-4917, UNITED STATES",C RANDY BAZE,Active
BC CHIROPRACTIC CLINIC INC.,602 759 318,WA PROFIT CORPORATION,"4001 MAIN ST, SUITE 200, VANCOUVER, WA, 98663-1894, UNITED STATES",MATTHEW COOPER,Active
"BC CHIROPRACTIC CLINIC, LLC",602 632 272,WA LIMITED LIABILITY COMPANY,"202 E MCLOUGHLIN BLVD, VANCOUVER, WA, 98663, UNITED STATES",MATTHEW COOPER,Inactive
BEAU ROGERS CHIROPRACTIC PLLC,604 233 834,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"860 COLE ST, ENUMCLAW, WA, 98022-2549, UNITED STATES",BEAU ROGERS,Active
BEDLINGTON CHIROPRACTIC CENTER P.S.,602 018 128,WA PROFIT CORPORATION,"211 E MAIN ST, EVERSON, WA, 98247-0160, UNITED STATES",BEDLINGTON CHIROPRACTIC CENTER PS,Active
"BEDRY FAMILY CHIROPRACTIC, INC., PS",602 675 062,WA PROFESSIONAL SERVICE CORPORATION,"1411 4TH AVE #1010, SEATTLE, WA, 98101, UNITED STATES",MATTHEW R HALE,Inactive
"BELL CHIROPRACTIC, INC, PS",602 877 382,WA PROFESSIONAL SERVICE CORPORATION,"320 W MARKET ST, ABERDEEN, WA, 98520-6135, UNITED STATES",DONALD BELL,Active
"BELLA VITA CHIROPRACTIC, LLC",603 464 456,WA LIMITED LIABILITY COMPANY,"11505 BURNHAM DR, GIG HARBOR, WA, 98332-9173, UNITED STATES",MEGAN LINDSEY,Administratively Dissolved
"BELLEVUE CHIROPRACTIC ASSOCIATES, P.S.",602 532 677,WA PROFESSIONAL SERVICE CORPORATION,"14575 NE BEL RED RD STE 100, BELLEVUE, WA, 98007-3908, UNITED STATES",BROCK BARNICK,Active
BELLEVUE CHIROPRACTIC CENTER LLC,602 887 722,WA LIMITED LIABILITY COMPANY,"515 116TH AVE NE STE 150, BELLEVUE, WA, 98004, UNITED STATES",RANDY L SMITH,Inactive
"BELLEVUE CHIROPRACTIC CENTER, INC., P.S.",600 046 661,WA PROFESSIONAL SERVICE CORPORATION,,SIDNEY M STOCK DC,Inactive
"BELLEVUE CHIROPRACTIC CENTER, PS",602 703 229,WA PROFESSIONAL SERVICE CORPORATION,"1530 BELLEVUE WAY SE, BELLEVUE, WA, 98004, UNITED STATES",JESSIE KOONER,Administratively Dissolved
"BELLEVUE CHIROPRACTIC NEUROLOGY, INC.",602 655 109,WA PROFIT CORPORATION,"12443 BEL RED RD, BELLEVUE, WA, 98005, UNITED STATES",PETER YONGHAM JO,Inactive
"BELLEVUE CHIROPRACTIC, P.S.",601 847 969,WA PROFESSIONAL SERVICE CORPORATION,"1800 116TH AVE NE STE 101, BELLEVUE, WA, 98004-3043, UNITED STATES",BELLEVUE CHIROPRACTIC,Active
"BELLEVUE WAY CHIROPRACTIC, P.S.",602 069 725,WA PROFESSIONAL SERVICE CORPORATION,,SHERI A SHERWOOD,Administratively Dissolved
"BELLINGHAM BAY CHIROPRACTIC, PLLC",604 326 057,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1200 LAKEWAY DR STE 3, BELLINGHAM, WA, 98229-2034, UNITED STATES",DYLAN BEAMER,Active
"BELLINGHAM CHIROPRACTIC CENTER, INC., P.S.",600 470 381,WA PROFESSIONAL SERVICE CORPORATION,"4202 GUIDE MERIDIAN STE 100, BELLINGHAM, WA, 98226-6400, UNITED STATES",BELLINGHAM CHIROPRACTIC CENTER INC. PS,Active
BELLINGHAM PERFORMANCE CHIROPRACTIC LLC,603 077 481,WA LIMITED LIABILITY COMPANY,"1433 N STATE ST, BELLINGHAM, WA, 98225, UNITED STATES",ERIK DEROCHE,Active
"BELLTOWN CHIROPRACTIC CENTER, PLLC",601 864 046,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,,Inactive
"BENEFIT HEALTH CHIROPRACTIC, INC., P.S.",601 130 355,WA PROFESSIONAL SERVICE CORPORATION,,GUY W BECKETT,Inactive
"BENSON CHIROPRACTIC CLINIC, INC. P.C.",601 925 248,WA PROFESSIONAL SERVICE CORPORATION,,SHAWN G JONAS,Inactive
BERGMAN CHIROPRACTIC LLC,602 492 763,WA LIMITED LIABILITY COMPANY,"1101 MELLAN ST, CENTRALIA, WA, 98531, UNITED STATES","DOUGLAS R BERGMAN, DC",Inactive
"BERRY FAMILY CHIROPRACTIC, P.S.",602 935 918,WA PROFESSIONAL SERVICE CORPORATION,"18710 MERIDIAN E STE 117, PUYALLUP, WA, 98375-2231, UNITED STATES",DOUGLAS BERRY,Delinquent
BESLYNN SICHIRO LLC,603 547 593,WA LIMITED LIABILITY COMPANY,"1409 E 30TH AVE, SPOKANE, WA, 99203, UNITED STATES",BESLYNN SICHIRO,Administratively Dissolved
BEST CARE CHIROPRACTIC AND MASSAGE LLC,603 471 153,WA LIMITED LIABILITY COMPANY,"32020 1ST AVE S #114, FEDERAL WAY, WA, 98003, UNITED STATES",JOUNSOO PARK,Administratively Dissolved
BEST CARE CHIROPRACTIC AND WELLNESS INC.,603 605 186,WA PROFIT CORPORATION,"32020 1ST AVE S STE 114, FEDERAL WAY, WA, 98003, UNITED STATES",JOUNSOO PARK,Active
"BEST CARE CHIROPRACTIC, LLC",603 250 290,WA LIMITED LIABILITY COMPANY,"16005 INTERNATIONAL BLVD., SUITE A, SEATAC, WA, 98188, UNITED STATES",JOSEPH AYALA,Administratively Dissolved
BESTWAY CHIROPRACTIC CLINIC CORPORATION,603 199 212,WA PROFIT CORPORATION,,DAEHYUN CHOI,Administratively Dissolved
"BETTER LIFE CHIROPRACTIC, PLLC",603 244 276,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"15 E CENTRAL AVE, STE 3, SPOKANE, WA, 99208-1109, UNITED STATES",CHAD T JOHNSON,Active
"BIGGAR CHIROPRACTIC CENTER, PS",602 927 437,WA PROFESSIONAL SERVICE CORPORATION,"416 9TH ST, WENATCHEE, WA, 98801-1503, UNITED STATES",BRENT BIGGAR,Active
"BING JIA CHIROPRACTIC CENTER, PLLC",604 032 111,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"693 156TH AVE SE, BELLEVUE, WA, 98007, UNITED STATES",ALBERT CWU,Administratively Dissolved
BLAINE CHIROPRACTIC CLINIC LLC,603 574 693,WA LIMITED LIABILITY COMPANY,"245 H ST, BLAINE, WA, 98230, UNITED STATES",PIERRE CONSTANTIN,Active
BLAND APPLIED KINESIOLOGY AND CHIROPRACTIC CLINIC PLLC,604 526 442,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1019 REGENTS BLVD STE 203, FIRCREST, WA, 98466-6037, UNITED STATES",RYAN BLAND,Active
"BLUE HERON CHIROPRACTIC, LLC",604 151 641,WA LIMITED LIABILITY COMPANY,"6226 196TH ST SW STE 1D, LYNNWOOD, WA, 98036-5959, UNITED STATES",CLAIRE RUSSELL,Active
"BLUE MOUNTAIN CHIROPRACTIC, LLC",604 180 087,WA LIMITED LIABILITY COMPANY,"16 E POPLAR ST, WALLA WALLA, WA, 99362-3009, UNITED STATES",CATELYN WEBBER,Active
"BLUE SPRING CHIROPRACTIC P.S., INC.",603 075 072,WA PROFIT CORPORATION,"12811 SE 38TH ST., BELLEVUE, WA, 98006, UNITED STATES",STEVE BAEK,Administratively Dissolved
"BLUME FAMILY CHIROPRACTIC & MASSAGE, INC.",602 808 051,WA PROFIT CORPORATION,"1611 KRESKY AVE #108, CENTRALIA, WA, 98531, UNITED STATES",JOSHUA BLUME,Active
"BODLE CHIROPRACTIC, P.S.",601 578 562,WA PROFESSIONAL SERVICE CORPORATION,"22312 MARINE VIEW DR S, DES MOINES, WA, 98198-6832, UNITED STATES",SECRETARY,Active
BODY IN BALANCE CHIROPRACTIC & WELLNESS CENTER CO.,602 917 042,WA PROFIT CORPORATION,"8501 E MILL PLAIN BLVD, VANCOUVER, WA, 98664-2010, UNITED STATES",BODY IN BALANCE CHIROPRACTIC & WELLNESS CENTER,Active
"BODY IN BALANCE CHIROPRACTIC AND WELLNESS CENTER, LLC",602 768 764,WA LIMITED LIABILITY COMPANY,"850 E MILL PLAIN BLVD, VANCOUVER, WA, 98664, UNITED STATES",SCOTT BRAHMER,Inactive
BODY RIGHT CHIROPRACTIC LLC,602 525 369,WA LIMITED LIABILITY COMPANY,"6768 BETHEL RD SE #M-02, PORT ORCHARD, WA, 98366, UNITED STATES",FINANCIAL REVIEW SERVICES LLC,Inactive
BODY SMITH CHIROPRACTIC LLC,603 192 852,WA LIMITED LIABILITY COMPANY,"1818 WESTLAKE AVE., SUITE 303, SEATTLE, WA, 98109, UNITED STATES",MATTHEW SMITH,Active
BODYFIT CHIROPRACTIC LLC,602 996 879,WA LIMITED LIABILITY COMPANY,"406 SE 131ST AVE STE 108, VANCOUVER, WA, 98683, UNITED STATES",PERRIN GUYTON III,Active
BODYTITE CHIROPRACTIC PLLC,602 800 831,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1823 115TH AVE NE, BELLEVUE, WA, 98004-3002, UNITED STATES",CHERYLENA SIMMONDS,Active
"BOND CHIROPRACTIC INCORPORATED, P.S.C.",601 958 996,WA PROFESSIONAL SERVICE CORPORATION,,KEVIN BOND,Inactive
"BOND CHIROPRACTIC SERVICES, P.S.",601 277 563,WA PROFESSIONAL SERVICE CORPORATION,,RANDALL L BOND DC,Inactive
"BONNEY LAKE CHIROPRACTIC, INC. PS",602 563 545,WA PROFESSIONAL SERVICE CORPORATION,"9925 214TH AVE E #C, BONNEY LAKE, WA, 98391, UNITED STATES",SCOTT SHERIDAN,Active
"BOTHELL CHIROPRACTIC & WELLNESS, PLLC",602 826 635,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"10024 MAIN ST STE 2C, BOTHELL, WA, 98011-3464, UNITED STATES",DUSTY DUBOIS,Active
BOULOM CHIROPRACTIC PS INC,602 913 771,WA PROFESSIONAL SERVICE CORPORATION,"15608 18TH PL W, LYNNWOOD, WA, 98087-8800, UNITED STATES",SKY BOULOM,Active
"BOULOM CHIROPRACTIC, INC., PS",601 846 267,WA PROFESSIONAL SERVICE CORPORATION,,SKY BOULOM,Inactive
"BOUNCE BACK CHIROPRACTIC AND WELLNESS CENTER, LLC",602 765 351,WA LIMITED LIABILITY COMPANY,"2810 NW 30TH CIRCLE, CAMAS, WA, 98607, UNITED STATES",GEOFFREY ALLEN,Inactive
"BOWERS FAMILY CHIROPRACTIC, INC., P.S.",602 272 359,WA PROFESSIONAL SERVICE CORPORATION,,JEFFREY D BOWERS,Administratively Dissolved
BRADLEY L. AKRIDGE CHIROPRACTIC CLINIC INC. P.S.,000 087 522,WA PROFESSIONAL SERVICE CORPORATION,,BRADLEY L AKRIDGE,Inactive
BRAYER CHIROPRATIC P.S.,601 887 161,WA PROFESSIONAL SERVICE CORPORATION,,ANIC ST MARTIN,Inactive
BREWSTER CHIROPRACTIC CENTER PLLC,603 259 193,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"319 E MAIN AVE, BREWSTER, WA, 98812, UNITED STATES",DR TYLER R COPENHAVER DC,Administratively Dissolved
"BRIAN A. HOWLETT CHIROPRACTIC, A PROFESSIONAL SERVICECORPORATION",601 697 332,WA PROFESSIONAL SERVICE CORPORATION,,BRIAN A HOWLETT,Administratively Dissolved
"BRIDGE CHIROPRACTIC 1, PLLC",603 599 637,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"13800 NE 20TH AVE, VANCOUVER, WA, 98686, UNITED STATES",HEIDI REED,Active
"BRIDGE CHIROPRACTIC 2, PLLC",603 590 912,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"605 SE 164TH AVE, STE 101, VANCOUVER, WA, 98684, UNITED STATES",HEIDI REED,Active
"BRIDGE CHIROPRACTIC 3, PLLC",603 599 651,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"13800 NE 20TH AVE, VANCOUVER, WA, 98686-2704, UNITED STATES",HEIDI REED,Active
"BRIDGE CHIROPRACTIC 4, PLLC",603 501 317,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"7317 E MILL PLAIN, VANCOUVER, WA, 98664, UNITED STATES",HEIDI REED,Active
"BRIDGE CHIROPRACTIC 5, PLLC",603 507 705,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1001 BROADWAY STREET, STE. 200, VANCOUVER, WA, 98660, UNITED STATES",HEIDI REED,Active
"BRIDGEMAN CHIROPRACTIC, PLLC",603 364 535,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"304 S WATER #103, ELLENSBURG, WA, 98926, UNITED STATES",BRIDGEMAN CHIROPRACTIC,Active
"BRIGGS CHIROPRACTIC, P.S.",602 150 746,WA PROFESSIONAL SERVICE CORPORATION,"1020 N CENTER PKWY STE E, KENNEWICK, WA, 99336-7161, UNITED STATES",CHRISTOPHER J MERTENS,Active
"BRILLIANT LIFE CHIROPRACTIC, LLC",602 760 318,WA LIMITED LIABILITY COMPANY,"708 BROADWAY STE 403, TACOMA, WA, 98402-3781, UNITED STATES","BRILLIANT LIFE CHIROPRACTIC, LLC",Active
"BRITTON CHIROPRACTIC HEALTH CENTER, LLC",601 970 945,WA LIMITED LIABILITY COMPANY,,BENJAMIN BRITTON D C,Inactive
"BROADWAY FAMILY CHIROPRACTIC, INC.",602 114 890,WA PROFIT CORPORATION,,GREGORY E. THULIN,Inactive
"BROCK CHIROPRACTIC, INC. P.C.",601 818 727,WA PROFESSIONAL SERVICE CORPORATION,,JERI LYNN BROCK DC,Inactive
"BROOKLYN HEIGHTS CHIROPRACTIC OFFICE, P.C.",603 081 562,FOREIGN PROFESSIONAL SERVICE CORPORATION,"2851 NW KITSAP PL, SILVERDALE, WA, 98383-9447, UNITED STATES",SCOTT SIEGEL,Withdrawn
BROWN CHIROPRACTIC INC.,602 153 904,WA PROFIT CORPORATION,,NICHOLAS BROWN,Inactive
BRYAN A. GARTON CHIROPRACTIC P.S. INC.,602 167 088,WA PROFESSIONAL SERVICE CORPORATION,,BRYAN A GARTON,Inactive
"BTH CHIROPRACTIC & MASSAGE AT FISHER'S LANDING, P.C.",602 294 857,WA PROFESSIONAL SERVICE CORPORATION,,TIMOTHY YODER,Inactive
"BUCHANAN CHIROPRACTIC, PLLC",602 290 935,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"27121 174TH PL SE, #105, COVINGTON, WA, 98042-4939, UNITED STATES",DENNIS POTHOVEN,Active
BUILT TO MOVE CHIROPRACTIC LLC,604 220 970,WA LIMITED LIABILITY COMPANY,"711 N HELENA ST STE C, SPOKANE, WA, 99202-2826, UNITED STATES","BUILT TO MOVE CHIROPRACTIC, LLC",Active
BUNCH CHIROPRACTIC OFFICES PLLC,602 884 053,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8033 W GRANDRIDGE BLVD STE C, KENNEWICK, WA, 99336, UNITED STATES",BRYSON JAY BUNCH,Administratively Dissolved
BUOYANT CHIROPRACTIC LLC,604 614 551,WA LIMITED LIABILITY COMPANY,"3815 N PEARL ST APT S14, TACOMA, WA, 98407-2634, UNITED STATES",KELLIE READ,Active
"BURCH FAMILY CHIROPRACTIC CLINIC, INC.",601 523 950,WA PROFIT CORPORATION,,CORWIN S BURCH,Inactive
"BURCHIM CHIROPRACTIC CLINIC, INC., P.S.",600 420 419,WA PROFESSIONAL SERVICE CORPORATION,,DAVID B HALLIN,Inactive
BURIEN CHIROPRACTIC LLC,603 609 904,WA LIMITED LIABILITY COMPANY,"870 SW 136TH ST, BURIEN, WA, 98166, UNITED STATES",KARIM BHANJI,Active
"BURKI CHIROPRACTIC CENTER, INC., P.S.",602 282 351,WA PROFESSIONAL SERVICE CORPORATION,,ROBERTS JOHNS & HEMPHILL PLLC,Administratively Dissolved
BURLINGTON CHIROPRACTIC CLINIC INC. P.S.,603 140 777,WA PROFESSIONAL SERVICE CORPORATION,"249 S BURLINGTON BLVD, BURLINGTON, WA, 98233, UNITED STATES",KEVIN S GEAGAN,Active
"BURLINGTON CHIROPRACTIC CLINIC, INC. P.S.",602 355 082,WA PROFESSIONAL SERVICE CORPORATION,"249 S BURLINGTON BLVD, BURLINGTON, WA, 98233, UNITED STATES",KEVIN GEAGRN,Inactive
"BURTON FAMILY CHIROPRACTIC CENTER, INC.",602 300 598,WA PROFIT CORPORATION,,JAMES P BURTON D C,Inactive
"BUSSARD CHIROPRACTIC, PLLC",602 668 079,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"24837 104TH AVE SE, SUITE 100, KENT, WA, 98030-6800, UNITED STATES",BRIAN J BUSSARD DC,Active
"BUSSO CHIROPRACTIC, PS, INC.",603 585 911,WA PROFESSIONAL SERVICE CORPORATION,"2501 SE MILE HILL DR UNIT 101, PORT ORCHARD, WA, 98366-3514, UNITED STATES",KAREN BUSSO,Active
"BUTTERFIELD CHIROPRACTIC, PLLC",602 192 735,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"18500 156TH AVE NE STE 205, WOODINVILLE, WA, 98072-4459, UNITED STATES",BRECK BUTTERFIELD,Active
"BUTTON CHIROPRACTIC, P.S.C.",602 415 188,WA PROFESSIONAL SERVICE CORPORATION,"2414 NW MYHRE RD # 120, SILVERDALE, WA, 98383-7669, UNITED STATES",BUTTON CHIROPRACTIC PSC,Active
"BUXBAUM FAMILY CHIROPRACTIC & MASSAGE, L.L.C.",603 448 323,WA LIMITED LIABILITY COMPANY,"7131 W DESCHUTES AVE # 102, KENNEWICK, WA, 99336-7801, UNITED STATES",ADAM BUXBAUM,Active
"C & C CHIROPRACTIC, INC PS",604 007 049,WA PROFESSIONAL SERVICE CORPORATION,"835 E COLONIAL AVE STE 102, MOSES LAKE, WA, 98837-4617, UNITED STATES",GRANT COX,Delinquent
"C.B. CHIROPRACTIC, P.L.L.C.",602 872 734,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2026 54TH AVE E, FIFE, WA, 98424-1904, UNITED STATES",CHRISTINE BLAIR,Active
"C.H.I.R.O. HEALTH CENTER, PC",602 794 065,WA PROFESSIONAL SERVICE CORPORATION,"111 TUMWATER BLVD SE # B205, OLYMPIA, WA, 98501-6400, UNITED STATES",SUSAN LOWERY,Active
CADY CHIROPRACTIC PLLC,603 493 918,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,MICHAELCADY,Administratively Dissolved
"CALCARA FAMILY CHIROPRACTIC, PS",603 062 847,WA PROFESSIONAL SERVICE CORPORATION,"1946 4TH AVE E, OLYMPIA, WA, 98506-4632, UNITED STATES",RICK CALCARA,Active
